id,text,pos,lemma,level,sense,type
450,གང་ལྟར,NULL,NULL,2,NULL,1
451,དབང,NULL,NULL,2,NULL,1
452,དེ་གཉིས,NULL,NULL,2,NULL,1
453,བརྒྱ,NULL,NULL,2,NULL,1
454,བསྟན,NULL,NULL,2,NULL,1
455,མ་ཡིན་པ,NULL,NULL,2,NULL,1
456,འཁྲིད,NULL,NULL,2,NULL,1
457,རྟ,NULL,NULL,2,NULL,1
458,ཤོད,NULL,NULL,2,NULL,1
459,དཀོན་མཆོག,NULL,NULL,2,NULL,1
460,ཕྱི་ལོགས,NULL,NULL,2,NULL,1
461,འགྲོ་སྟངས,NULL,NULL,2,NULL,1
462,རྩ་བ,NULL,NULL,2,NULL,1
463,ལྷ,NULL,NULL,2,NULL,1
464,ཇ,NULL,NULL,2,NULL,1
465,ཉམས་ལེན,NULL,NULL,2,NULL,1
466,ཐོས,NULL,NULL,2,NULL,1
467,དབྱིན་ཇི,NULL,NULL,2,NULL,1
468,བློ,NULL,NULL,2,NULL,1
469,རྒྱུ་མཚན,NULL,NULL,2,NULL,1
470,ཤི,NULL,NULL,2,NULL,1
471,སྒང་ནས,NULL,NULL,2,NULL,1
472,སྙན་ངག,NULL,NULL,2,NULL,1
473,ཁྱོད་ཚོ,NULL,NULL,2,NULL,1
474,ཕ་གི,NULL,NULL,2,NULL,1
475,བསྡད་ན,NULL,NULL,2,NULL,1
476,ཡིན་ད,NULL,NULL,2,NULL,1
477,སྙིང་རྗེ,NULL,NULL,2,NULL,1
478,ཇི་ལྟར,NULL,NULL,2,NULL,1
479,བརྒྱུད,NULL,NULL,2,NULL,1
480,སྲས་མོ,NULL,NULL,2,NULL,1
481,མཐར,NULL,NULL,2,NULL,1
482,འོན་ཏེ,NULL,NULL,2,NULL,1
483,སྒྲ,NULL,NULL,2,NULL,1
484,གཅིག་པོ,NULL,NULL,2,NULL,1
485,སྐྱེས་པ,NULL,NULL,2,NULL,1
486,ཀིརྟི,NULL,NULL,2,NULL,1
487,གསུང,NULL,NULL,2,NULL,1
488,ང་རང་ཚོ,NULL,NULL,2,NULL,1
489,ཅི་ཞིག,NULL,NULL,2,NULL,1
490,དགོང་དག,NULL,NULL,2,NULL,1
491,ནགས་ཚལ,NULL,NULL,2,NULL,1
492,ཟེར་ཡ,NULL,NULL,2,NULL,1
493,འདྲེ་མོ,NULL,NULL,2,NULL,1
494,རིང་པོ,NULL,NULL,2,NULL,1
495,ལྟ་བུ,NULL,NULL,2,NULL,1
496,དམ,NULL,NULL,2,NULL,1
497,ཚིག,NULL,NULL,2,NULL,1
498,འཐུང,NULL,NULL,2,NULL,1
499,སྟེར,NULL,NULL,2,NULL,1
500,ཐག་ཆོད,NULL,NULL,2,NULL,1
501,དམར་པོ,NULL,NULL,2,NULL,1
502,ཕྱི,NULL,NULL,2,NULL,1
503,ཕྱུག་པོ,NULL,NULL,2,NULL,1
504,བཙལ,NULL,NULL,2,NULL,1
505,བྱེད་དུས,NULL,NULL,2,NULL,1
506,མེད་ན,NULL,NULL,2,NULL,1
507,འདོན,NULL,NULL,2,NULL,1
508,ཡིན་པས,NULL,NULL,2,NULL,1
509,ཀྱིན,NULL,NULL,2,NULL,1
510,བླུགས,NULL,NULL,2,NULL,1
511,འདྲ་བ,NULL,NULL,2,NULL,1
512,ལག,NULL,NULL,2,NULL,1
513,ལབ་པ,NULL,NULL,2,NULL,1
514,སྒྲིག་གཞི,NULL,NULL,2,NULL,1
515,ད་ག་རང,NULL,NULL,2,NULL,1
516,བཞག་པ,NULL,NULL,2,NULL,1
517,བརྟེན,NULL,NULL,2,NULL,1
518,རྒྱ་མཚོ,NULL,NULL,2,NULL,1
519,ཁོང་ཁྲོ,NULL,NULL,2,NULL,1
520,གམ,NULL,NULL,2,NULL,1
521,གཞི་ནས,NULL,NULL,2,NULL,1
522,དཔེར་ན,NULL,NULL,2,NULL,1
523,བཙུན་མ,NULL,NULL,2,NULL,1
524,བརྩེ་བ,NULL,NULL,2,NULL,1
525,སྐྱིད་པོ,NULL,NULL,2,NULL,1
526,ཅུང,NULL,NULL,2,NULL,1
527,དགེ་རྩ,NULL,NULL,2,NULL,1
528,བཙུགས,NULL,NULL,2,NULL,1
529,མ་རེད་བ,NULL,NULL,2,NULL,1
530,སྦྱིན་པ,NULL,NULL,2,NULL,1
531,གསར་པ,NULL,NULL,2,NULL,1
532,ཙི་ཙི,NULL,NULL,2,NULL,1
533,ཡིད,NULL,NULL,2,NULL,1
534,སྒོར་མོ,NULL,NULL,2,NULL,1
535,གློ་བུར,NULL,NULL,2,NULL,1
536,ཐོག་ནས,NULL,NULL,2,NULL,1
537,ད་ཆ,NULL,NULL,2,NULL,1
538,དངུལ,NULL,NULL,2,NULL,1
539,འཁོར,NULL,NULL,2,NULL,1
